N,Ub,sb,Ud,rL,rl2,L,total_time,t_eq,number_beneficial_loci,l3,v,total_fixations,fraction recombined
1000000000,1.00E-06,0.05,0,0.00316,3.16E-05,1000000,23138,2000,10000,10000,0.001496318,617,0.998379
1.00E+11,1.00E-06,0.05,0,3.16E-05,3.16E-07,1000000,17884,2000,10000,10000,0.001300093,376,1
10000000000,1.00E-06,0.05,0,0,0,1000000,502000,2000,10000,10000,0.000686819,6868,0
100000000,1.00E-06,0.05,0,1.00E-08,1.00E-10,1000000,502000,2000,10000,10000,0.00049861,4990,0.000801603
1.00E+11,1.00E-06,0.05,0,0.000316,3.16E-06,1000000,2139,2000,10000,10000,0.001640688,5,1
1000000000,1.00E-06,0.05,0,3.16E-06,3.16E-08,1000000,502000,2000,10000,10000,0.000660538,6591,0.33212
10000000000,1.00E-06,0.05,0,1.00E-09,1.00E-11,1000000,502000,2000,10000,10000,0.000686503,6864,0.00262238
100000000,1.00E-06,0.05,0,1.00E-07,1.00E-09,1000000,502000,2000,10000,10000,0.000496566,4961,0.011288
100000000,1.00E-06,0.05,0,0,0,1000000,502000,2000,10000,10000,0.000494731,4949,0
10000000000,1.00E-06,0.05,0,3.16E-09,3.16E-11,1000000,502000,2000,10000,10000,0.000685598,6855,0.00700219
10000000000,1.00E-06,0.05,0,1.00E-08,1.00E-10,1000000,502000,2000,10000,10000,0.000688162,6881,0.0140968
1000000000,1.00E-06,0.05,0,3.16E-05,3.16E-07,1000000,502000,2000,10000,10000,0.000789415,7891,0.616905
1.00E+11,1.00E-06,0.05,0,0.00316,3.16E-05,1000000,305,2000,10000,10000,-7.93E-05,0,-1
100000000,1.00E-06,0.05,0,1.00E-06,1.00E-08,1000000,502000,2000,10000,10000,0.000509311,5093,0.0893383
100000000,1.00E-06,0.05,0,1.00E-09,1.00E-11,1000000,502000,2000,10000,10000,0.000495961,4956,0.000403551
1000000000,1.00E-06,0.05,0,0.000316,3.16E-06,1000000,257907,2000,10000,10000,0.001023285,5211,0.870658
10000000000,1.00E-06,0.05,0,3.16E-08,3.16E-10,1000000,502000,2000,10000,10000,0.000693937,6937,0.0433905
1.00E+11,1.00E-06,0.05,0,0,0,1000000,58734,2000,10000,10000,0.000785389,893,0
100000000,1.00E-06,0.05,0,0.001,1.00E-05,1000000,502000,2000,10000,10000,0.000896945,8970,0.86689
1000000000,1.00E-06,0.05,0,1,0.01,1000000,159,2000,10000,10000,-1.58E-06,0,-1
1.00E+11,1.00E-06,0.05,0,3.16E-08,3.16E-10,1000000,59114,2000,10000,10000,0.000811706,922,0.130152
1000000000,1.00E-06,0.05,0,0.0316,0.000316,1000000,1713,2000,10000,10000,-0.018646414,85,1
1.00E+11,1.00E-06,0.05,0,3.16E-09,3.16E-11,1000000,57983,2000,10000,10000,0.000782982,866,0.0277136
100000000,1.00E-06,0.05,0,0.0001,1.00E-06,1000000,502000,2000,10000,10000,0.000662019,6619,0.615199
10000000000,1.00E-06,0.05,0,1.00E-07,1.00E-09,1000000,502000,2000,10000,10000,0.000704451,7038,0.105144
1000000000,1.00E-06,0.05,0,3.16E-07,3.16E-09,1000000,502000,2000,10000,10000,0.000608089,6091,0.0991627
10000000000,1.00E-06,0.05,0,3.16E-07,3.16E-09,1000000,502000,2000,10000,10000,0.000727984,7283,0.223397
100000000,1.00E-06,0.05,0,1.00E-05,1.00E-07,1000000,502000,2000,10000,10000,0.000549544,5488,0.301567
1000000000,1.00E-06,0.05,0,3.16E-08,3.16E-10,1000000,502000,2000,10000,10000,0.000592835,5927,0.0200776
100000000,1.00E-06,0.05,0,0.01,0.0001,1000000,73507,2000,10000,10000,0.001438037,2055,0.972263
1000000000,1.00E-06,0.05,0,0.316,0.00316,1000000,279,2000,10000,10000,-0.000178772,0,0
1000000000,1.00E-06,0.05,0,3.16E-09,3.16E-11,1000000,502000,2000,10000,10000,0.000594342,5946,0.00134544
10000000000,1.00E-06,0.05,0,1.00E-06,1.00E-08,1000000,502000,2000,10000,10000,0.000766658,7658,0.375686
1000000000,1.00E-06,0.05,0,1.00E-07,1.00E-09,1000000,502000,2000,10000,10000,0.000597743,5974,0.0386676
10000000000,1.00E-06,0.05,0,3.16E-06,3.16E-08,1000000,30000,2000,10000,10000,8.35E-04,428,0.588785
100000000,1.00E-06,0.05,0,3.16E-06,3.16E-08,1000000,502000,2000,10000,10000,0.000523725,5232,0.169343
1.00E+11,1.00E-06,0.05,0,1.00E-09,1.00E-11,1000000,58387,2000,10000,10000,0.000780018,888,0.00788288
100000000,1.00E-06,0.05,0,1,0.01,1000000,526,2000,10000,10000,-0.026180799,26,1
100000000,1.00E-06,0.05,0,0.00316,3.16E-05,1000000,269492,2000,10000,10000,0.00111584,5950,0.937479
1000000000,1.00E-06,0.05,0,1.00E-08,1.00E-10,1000000,502000,2000,10000,10000,0.00059483,5949,0.00706001
1000000000,1.00E-06,0.05,0,1.00E-09,1.00E-11,1000000,502000,2000,10000,10000,0.000593801,5948,0.000336247
1000000000,1.00E-06,0.05,0,0.1,0.001,1000000,550,2000,10000,10000,-0.001697349,0,0
100000000,1.00E-06,0.05,0,0.000316,3.16E-06,1000000,502000,2000,10000,10000,0.000757301,7572,0.74934
1.00E+11,1.00E-06,0.05,0,1.00E-08,1.00E-10,1000000,59232,2000,10000,10000,0.000797021,886,0.0688488
1000000000,1.00E-06,0.05,0,1.00E-06,1.00E-08,1000000,502000,2000,10000,10000,0.000627916,6284,0.201464
100000000,1.00E-06,0.05,0,3.16E-05,3.16E-07,1000000,502000,2000,10000,10000,0.000595025,5952,0.452453
1.00E+10,1.00E-06,0.05,0,1.00E-05,1.00E-07,1000000,10000,2000,10000,10000,8.97E-04,109,0.87156
10000000000,1.00E-06,0.05,0,3.16E-05,3.16E-07,1000000,10000,2000,10000,10000,1.00E-03,140,0.942857
100000000,1.00E-06,0.05,0,3.16E-07,3.16E-09,1000000,502000,2000,10000,10000,0.000499709,4996,0.0388311
1000000000,1.00E-06,0.05,0,0.0001,1.00E-06,1000000,502000,2000,10000,10000,0.000884715,8838,0.754696
1.00E+11,1.00E-06,0.05,0,0.01,0.0001,1000000,151,2000,10000,10000,-1.05E-06,0,-1
1000000000,1.00E-06,0.05,0,0,0,1000000,502000,2000,10000,10000,0.000591177,5912,0
10000000000,1.00E-06,0.05,0,1.00E-04,1.00E-06,1000000,20000,2000,10000,10000,1.16E-03,371,0.991914
100000000,1.00E-06,0.05,0,0.0316,0.000316,1000000,20839,2000,10000,10000,0.001959684,740,0.993243
1000000000,1.00E-06,0.05,0,0.001,1.00E-05,1000000,74303,2000,10000,10000,0.001211311,1738,0.958573
10000000000,1.00E-06,0.05,0,0.000316,3.16E-06,1000000,23135,2000,10000,10000,0.00129178,515,0.998058
1000000000,1.00E-06,0.05,0,0.01,0.0001,1000000,6787,2000,10000,10000,0.001836552,179,1
1.00E+11,1.00E-06,0.05,0,0.0001,1.00E-06,1000000,6602,2000,10000,10000,0.001444423,121,1
100000000,1.00E-06,0.05,0,3.16E-09,3.16E-11,1000000,502000,2000,10000,10000,0.000496986,4966,0.000604108
10000000000,1.00E-06,0.05,0,0.001,1.00E-05,1000000,7210,2000,10000,10000,0.001534145,155,1
100000000,1.00E-06,0.05,0,3.16E-08,3.16E-10,1000000,502000,2000,10000,10000,0.000492859,4930,0.00466531
1.00E+11,1.00E-06,0.05,0,0.001,1.00E-05,1000000,647,2000,10000,10000,-0.000879416,0,-1
1000000000,1.00E-06,0.05,0,1.00E-05,1.00E-07,1000000,502000,2000,10000,10000,0.000712314,7111,0.47096
1.00E+11,1.00E-06,0.05,0,1.00E-05,1.00E-07,1000000,9000,2000,10000,10000,1.14E-03,117,1
1.00E+11,1.00E-06,0.05,0,3.16E-05,3.16E-07,1000000,10000,2000,10000,10000,1.31E-03,187,1
10000000000,1.00E-06,0.05,0,0.00316,3.16E-05,1000000,2009,2000,10000,10000,0.001388019,4,1
10000000000,1.00E-06,0.05,0,0.01,0.0001,1000000,592,2000,10000,10000,-0.001024258,0,-1
10000000000,1.00E-06,0.05,0,0.0316,0.000316,1000000,303,2000,10000,10000,-0.000100974,0,-1
1.00E+11,1.00E-06,0.05,0,1.00E-06,1.00E-08,1000000,8000,2000,10000,10000,9.44E-04,63,0.968254
1.00E+11,1.00E-06,0.05,0,3.16E-06,3.16E-08,1000000,8000,2000,10000,10000,1.04E-03,80,0.9625
1.00E+11,1.00E-06,0.05,0,1.00E-07,1.00E-09,1000000,9000,2000,10000,10000,8.22E-04,79,0.367089
1.00E+11,1.00E-06,0.05,0,3.16E-07,3.16E-09,1000000,8000,2000,10000,10000,8.95E-04,69,0.666667
10000000000,1.00E-06,0.05,0,0.1,0.001,1000000,157,2000,10000,10000,-1.41E-06,0,0
